name,rank,rank_num,hs_per,dpr,win_per,kd,spr,kpr,date,link
sketchywolf#1522,Immortal,15,0.28,154.3,49.6,1.1,240.7,0.8,1/24/2021,https://tracker.gg/valorant/profile/riot/sketchywolf%231522?playlist=competitive
mibpolice#5993,Immortal,15,0.27,142,50.1,1.04,223,0.8,1/18/2021,https://tracker.gg/valorant/profile/riot/mibpolice%235993?playlist=competitive
OGCBG#NA1,Immortal,15,0.31,173.4,51.5,1.15,278.4,0.9,1/22/2021,https://tracker.gg/valorant/profile/riot/OGCBG%23NA1?playlist=competitive
chloric#Caide,Immortal,15,0.23,137.3,51.2,1.13,212.2,0.7,2/14/2021,https://tracker.gg/valorant/profile/riot/chloric%23Caide?playlist=competitive
LeX#4027,Immortal,15,0.32,141.5,51,1.01,222.2,0.8,1/18/2021,https://tracker.gg/valorant/profile/riot/LeX%234027?playlist=competitive
miguelito#1337,Immortal,15,0.24,131.1,52.9,1.04,202.6,0.7,1/21/2021,https://tracker.gg/valorant/profile/riot/miguelito%231337?playlist=competitive
luu#kiss,Immortal,15,0.25,150.5,52.7,1.21,244.7,0.8,1/21/2021,https://tracker.gg/valorant/profile/riot/luu%23kiss?playlist=competitive
OP Shiba#sibal,Immortal,15,0.3,133.2,51.9,1,213,0.7,1/21/2021,https://tracker.gg/valorant/profile/riot/OP%20Shiba%23sibal?playlist=competitive
Arc#SYN,Immortal,15,0.3,137,47.9,1.01,210.3,0.7,1/24/2021,https://tracker.gg/valorant/profile/riot/Arc%23SYN?playlist=competitive
Goku#1738,Immortal,15,0.26,134.2,50,1,202.5,0.7,1/18/2021,https://tracker.gg/valorant/profile/riot/Goku%231738?playlist=competitive
Able VolcaN#GOD,Immortal,15,0.29,165.3,51.8,1.3,270.1,0.9,1/21/2021,https://tracker.gg/valorant/profile/riot/Able%20VolcaN%23GOD?playlist=competitive
aimbotcardin#7245,Immortal,15,0.26,138.5,52.6,1,214.9,0.7,1/21/2021,https://tracker.gg/valorant/profile/riot/aimbotcardin%237245?playlist=competitive
NCSU Vintage#PACK,Immortal,15,0.31,129.1,50.9,0.98,200.7,0.7,1/24/2021,https://tracker.gg/valorant/profile/riot/NCSU%20Vintage%23PACK?playlist=competitive
SG V1T0#7302,Immortal,15,0.26,126.7,52,0.96,194.9,0.7,1/18/2021,https://tracker.gg/valorant/profile/riot/SG%20V1T0%237302?playlist=competitive
camjrefill#777,Immortal,15,0.3,132.1,50,1.01,205.5,0.7,1/18/2021,https://tracker.gg/valorant/profile/riot/camjrefill%23777?playlist=competitive
DD Sher1ff#0000,Diamond 3,14,0.27,127.4,49.3,0.98,200.9,0.7,1/18/2021,https://tracker.gg/valorant/profile/riot/DD%20Sher1ff%230000?playlist=competitive
Daniel LaRusso#KOBRA,Diamond 3,14,0.3,144.4,49,1.01,222.9,0.7,1/20/2021,https://tracker.gg/valorant/profile/riot/Daniel%20LaRusso%23KOBRA?playlist=competitive
DisTeez#4747,Diamond 3,14,0.22,142.3,50.1,0.98,219.7,0.7,1/26/2021,https://tracker.gg/valorant/profile/riot/DisTeez%234747?playlist=competitive
Phantonex#7928,Diamond 3,14,0.28,128,49.8,1,202.8,0.7,2/14/2021,https://tracker.gg/valorant/profile/riot/Phantonex%237928?playlist=competitive
Ellet#0001,Diamond 3,14,0.25,129.8,51.6,1,196.1,0.7,1/18/2021,https://tracker.gg/valorant/profile/riot/Ellet%230001?playlist=competitive
Riptis Mom#Mommy,Diamond 3,14,0.23,146.7,50.6,1.11,231.7,0.8,1/18/2021,https://tracker.gg/valorant/profile/riot/Riptis%20Mom%23Mommy?playlist=competitive
joyful#4444,Diamond 2,13,0.26,122,52.2,0.86,183.4,0.6,1/22/2021,https://tracker.gg/valorant/profile/riot/joyful%234444?playlist=competitive
Russell#1234,Diamond 1,12,0.28,149.3,53.5,1.21,235.3,0.8,1/20/2021,https://tracker.gg/valorant/profile/riot/Russell%231234?playlist=competitive
hehayea#BREAD,Diamond 1,12,0.23,150,52.2,1.15,237.1,0.8,1/26/2021,https://tracker.gg/valorant/profile/riot/hehayea%23BREAD?playlist=competitive
Talkingrock#0001,Diamond 1,12,0.27,137.9,51.1,1.05,209.1,0.7,2/6/2021,https://tracker.gg/valorant/profile/riot/Talkingrock%230001?playlist=competitive
Resi#NA2,Diamond 1,12,0.27,145,46.9,1,225.3,0.8,3/16/2021,https://tracker.gg/valorant/profile/riot/Resi%23NA2?playlist=competitive
Too noobyyy ツ#ITZY,Diamond 1,12,0.2,139.4,49.8,1.07,212.7,0.7,2/14/2021,https://tracker.gg/valorant/profile/riot/Too%20noobyyy%20%E3%83%84%23ITZY?playlist=competitive
cL0mb0#SOLOQ,Diamond 1,12,0.23,148.5,49.9,1.12,229,0.8,1/22/2021,https://tracker.gg/valorant/profile/riot/cL0mb0%23SOLOQ?playlist=competitive
Mxrvinツ#8612,Diamond 1,12,0.24,149.3,48.5,1.06,236.3,0.8,2/14/2021,https://tracker.gg/valorant/profile/riot/Mxrvin%E3%83%84%238612?playlist=competitive
Mingy#725,Platinum 3,11,0.28,131.4,50.1,0.94,204.7,0.7,1/21/2021,https://tracker.gg/valorant/profile/riot/Mingy%23725?playlist=competitive
